marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
oceane,Mini Geladeira Branca - Skincare Fridge 4l,,tônico,4l,599.90,,,,mini-geladeira-branca-skincare-fridge-4l.jpg
oceane,Mini Geladeira Preta - Skincare Fridge Océane Edition 4l,,tônico,4l,599.90,anti-inchaço nos olhos,,,mini-geladeira-preta-skincare-fridge-oceane-edition-4l.jpg
oceane,Máscara Facial de Argila com Centella Asiática - Cica Mask 35ml,,máscara facial,35ml,33.90,acalma/anti-vermelhidão; antiacne; colágeno; limpeza,,,mascara-facial-de-argila-com-centella-asiatica-cica-mask-35ml.jpg
