marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
ollie,Protetor Solar em Bastão Com Cor FPS 95,,protetor solar,15g,139.00, hidratação; proteção solar,ácido hialurônico; fenoxietanol; glicerina; hialuronato de sódio; palmitato de ascorbila; sílica; tocopherol; vitamina e,acneica; com manchas; oleosa; melasma;,protetorsolarembastao_10_still_02.jpg
ollie,"Bastão 3 em 1 - Blush, Batom e Sombra FPS 95",,bastão,45g,99.00, antissinais; colágeno; hidratação,ácido hialurônico; fenoxietanol; glicerina; hialuronato de sódio; palmitato de ascorbila; sílica; tocopherol; vitamina c; vitamina e,todos os tipos,3em1_rosa_still_02.jpg
ollie,Protetor Solar em Bastão Incolor FPS 95,,protetor solar,14g,109.00,proteção solar,ácido hialurônico; vitamina c; vitamina e,todos os tipos,protetor_bastao_still_02.jpg
ollie,Protetor Solar Mineral Fluido FPS 50 FPUVA 16,,protetor solar,40g,99.00, fortalece a barreira; hidratação; proteção solar; ,esqualano; niacinamida; zinco,sensivel,protetor_mineral_produto_caixa.jpg
ollie,Creme Hidratante para Mãos FPS 60 FPUVA 22,,hidratante,30g,59.00,antioxidante; antissinais;  hidratação; ; proteção solar; rugas profundas; uniformiza o tom/antimanchas,manteiga de karité; niacinamida,todos os tipos,carrossel_3d_sweety.jpg
ollie,Hidratante Labial com FPS 50,,hidratante,4.5g,39.00, anti-ressecamento;  hidratação; proteção solar,ácido hialurônico; esqualano; manteiga de karité; vitamina e, todos os tipos,hidratante_labial_still_02.jpg
ollie,Pó Translúcido Facial FPS 30,,protetor solar,5g,119.00,proteção solar; uniformiza o tom/antimanchas,sílica,todos os tipos,po_translucido_01.jpg
ollie,Protetor Solar Transparente Aveludado FPS 40,,protetor solar,40g,99.00,antiacne; antioxidante; compatível com maquiagem; colágeno; controle da oleosidade; luminosidade/viço; proteção solar; rugas profundas; uniformiza o tom/antimanchas,sílica; vitamina e,acneica; mista; oleosa; seca,protetor_still_02_jpeg.jpg
